gene_symbol	passing_guides	total_guides
ATG13	3	3
ATG14	3	3
ATG16L1	3	3
ATG16L2	3	3
ATG2A	2	3
ATG2B	2	3
ATG3	3	3
ATG4A	3	3
ATG4B	3	3
ATG4C	3	3
ATG4D	2	3
ATG5	3	3
ATG7	2	3
ATG9A	2	3
ATG9B	3	3
ATIC	3	3
ATL1	1	3
ATL2	3	3
ATL3	3	3
ATM	3	3
ATMIN	0	3
ATN1	3	3
ATOH1	3	3
ATOH7	3	3
ATOH8	2	3
ATOX1	3	3
ATP10A	2	3
ATP10B	3	3
ATP10D	3	3
ATP11A	3	3
ATP11AUN	3	3
ATP11B	1	3
ATP11C	3	3
ATP12A	1	3
ATP13A1	2	3
ATP13A2	3	3
ATP13A3	3	3
ATP13A4	3	3
ATP13A5	3	3
ATP1A1	3	3
ATP1A2	3	3
ATP1A3	2	3
ATP1A4	3	3
ATP1B1	2	3
ATP1B2	3	3
ATP1B3	2	3
ATP1B4	3	3
ATP2A1	3	3
ATP2A2	3	3
ATP2A3	3	3
ATP2B1	3	3
ATP2B2	2	3
ATP2B3	1	3
ATP2B4	3	3
ATP2C1	2	3
ATP2C2	2	3
ATP4A	3	3
ATP4B	1	3
ATP5A1	3	3
ATP5B	2	3
ATP5C1	3	3
ATP5D	3	3
ATP5E	2	3
ATP5F1	3	3
ATP5G1	3	3
ATP5G2	3	3
ATP5G3	2	3
ATP5H	3	3
ATP5I	2	3
ATP5J	3	3
ATP5J2	2	3
ATP5L	3	3
ATP5L2	2	2
ATP5O	3	3
ATP5S	3	3
ATP5SL	2	3
ATP6AP1	3	3
ATP6AP1L	3	3
ATP6AP2	2	3
ATP6V0A1	3	3
ATP6V0A2	2	3
ATP6V0A4	2	3
ATP6V0B	3	3
ATP6V0C	3	3
ATP6V0D1	3	3
ATP6V0D2	3	3
ATP6V0E1	2	3
ATP6V0E2	2	3
ATP6V1A	2	3
ATP6V1B1	3	3
ATP6V1B2	3	3
ATP6V1C1	2	3
ATP6V1C2	3	3
ATP6V1D	3	3
ATP6V1E1	3	3
ATP6V1E2	0	1
ATP6V1F	3	3
ATP6V1G1	3	3
ATP6V1G2	3	3
ATP6V1G3	3	3
ATP6V1H	3	3
ATP7A	3	3
ATP7B	3	3
ATP8A1	2	3
ATP8A2	2	3
ATP8B1	3	3
ATP8B2	3	3
ATP8B3	2	3
ATP8B4	3	3
ATP9A	3	3
ATP9B	3	3
ATPAF1	3	3
ATPAF2	2	3
ATPIF1	2	3
ATR	3	3
ATRAID	2	3
ATRIP	3	3
ATRN	3	3
ATRNL1	2	3
ATRX	3	3
ATXN1	3	3
ATXN10	3	3
ATXN1L	3	3
ATXN2	3	3
ATXN2L	1	3
ATXN3	3	3
ATXN3L	3	3
ATXN7	3	3
ATXN7L1	3	3
ATXN7L2	3	3
ATXN7L3	3	3
ATXN7L3B	3	3
AUH	3	3
AUNIP	2	3
AUP1	3	3
AURKA	3	3
AURKAIP1	3	3
AURKB	3	3
AURKC	3	3
AUTS2	2	3
AVEN	3	3
AVIL	3	3
AVL9	3	3
AVP	3	3
AVPI1	3	3
AVPR1A	3	3
AVPR1B	2	3
AVPR2	3	3
AWAT1	3	3
AWAT2	3	3
AXDND1	3	3
AXIN1	3	3
AXIN2	3	3
AXL	2	3
AZGP1	3	3
AZI2	3	3
AZIN1	3	3
AZIN2	2	3
AZU1	3	3
B2M	3	3
B3GALT1	3	3
B3GALT2	3	3
B3GALT4	2	3
B3GALT5	3	3
B3GALT6	2	3
B3GAT1	2	3
B3GAT2	3	3
B3GAT3	3	3
B3GLCT	1	3
B4GALT1	2	3
B4GALT2	2	3
B4GALT3	3	3
B4GALT4	2	3
B4GALT5	3	3
B4GALT6	3	3
B4GALT7	2	3
